INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
SP 012,AERÓDROMO,LEH,LA LECHUGUILLA,CHIHUAHUA,MORELOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JESUS MANUEL CHAPARRO CHAVEZ,"1,122.00",NAD 27,26,10,24.00,107,21,48.00,2,20,600.00,15.00,TERRACERÍA,12/10/2004,180 DIAS,12/04/2005,ABR,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 013,AERÓDROMO,SAV,SANTA ANA MALOAPAN,VERACRUZ,MARTINEZ DE LA TORRE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ANTONIO VELAZQUEZ CRUZ Y HERMANOS,105.00,WGS-84,20,3,39.00,97,5,16.00,2,20,"1,100.00",12.00,ASFALTO,08/08/2018,15 AÑOS ,08/08/2033,AGO ,2033,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE VERACRUZ, VERACRUZ",,,,,,
SP 014,AERÓDROMO,GAA,RANCHO SANTA ROSA,GUANAJUATO,SAN DIEGO DE LA UNION,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ROBERTO LASCURAIN GARGOLLO,"2,140.00",,21,26,40.30,100,56,14.10,9,27,555.00,15.00,TERRACERÍA,20/10/1999,60 DÍAS,SIN AUTORIZACIÓN,DIC,1999,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE GUANAJUATO, GUANAJUATO",,,,,,
SP 015,AERÓDROMO,AST,AEROFUMIGACIONES NAYARIT,BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JORGE GUTIERREZ ESPINOZA,20.00,WGS-84,32,18,51.60,115,16,21.60,8,26,600.00,15.00,TERRACERÍA,23/04/2002,90 DÍAS,SIN AUTORIZACIÓN,JUL,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 016,AERÓDROMO,POM,POTRERO DE LOS MEDINA,SINALOA,BADIRAGUATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JORGE SAENZ MEDINA,"1,100.00",NAD 27,25,32,19.20,107,21,43.20,14,32,600.00,15.00,TERRACERÍA,29/01/2002,90 DÍAS,SIN AUTORIZACIÓN,ABR,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
HP 017,HELIPUERTO,HFN,FARALLON,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"COMPAÑÍA PERIODÍSTICA ESTO, S.A. DE C.V.","2,354.00",WGS-84,19,19,21.70,99,12,15.70,,,,,,08/02/2017,15 AÑOS,08/02/2032,FEB,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 018,HELIPUERTO,HKT,ELEKTRA II,CIUDAD DE MÉXICO,TLALPAN,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"ELEKTRA COMERCIAL, S.A. DE C.V.","2,340.00",NAD 27,19,17,46.38,99,11,8.38,,,,,,08/05/2003,180 DIAS,08/11/2003,NOV,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 019,AERÓDROMO,AZT,LOS AZTECAS,TAMAULIPAS,CIUDAD MANTE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,GUSTAVO LATOFSKI SMITH,23.00,WGS-84,22,30,50.70,98,37,57.06,11,29,"1,000.00",8.00,ASFALTO,15/02/2021,180 DIAS ,15/08/2021,AGO,2021,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 020,AERÓDROMO,HGU (CAMBIAR DESIGNADOR POR PGU),HACIENDA GUADALUPE,COAHUILA,MELCHOR MUZQUIZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"COMPAÑIA GANADERA VALLE DE GUADALUPE, S.A. DE C.V.","1,172.00",WGS-84,29,1,37.40,102,23,51.60,14,32,"1,060.00",14.00,TERRACERÍA,08/12/2016,15 AÑOS,08/12/2031,DIC,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MONCLOVA, COAHUILA",,,,,,
HP 021,HELIPUERTO,HUF,UNEFON,CIUDAD DE MÉXICO,TLALPAN,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"OPERADORA UNEFON, S.A. DE C.V.","2,419.00",WGS-84,19,18,17.90,99,12,32.10,,,,,,29/11/2002,5 AÑOS,29/11/2007,NOV,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
