INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
SP 350,AERÓDROMO,LOP,PISTA LOPEZ,BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,CARLOS LÓPEZ BAÑUELOS,18.00,WGS-84,32,24,35.80,115,2,56.70,15,33,760.00,12.00,TERRACERÍA,22/10/2013,15 AÑOS,22/10/2028,OCT,2028,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 351,AERÓDROMO,LLM,"LA LOMITA
(ACREDITACIÓN PROPIETARIO)",TAMAULIPAS,GONZALEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ALFONSO URIBE AVIN,82.00,,22,51,15.00,98,29,30.00,17,35,800.00,20.00,TERRACERÍA,18/02/2008,5 AÑOS,18/02/2013,FEB,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 352,AERÓDROMO,RLW,RANCHO LOMA BLANCA,COAHUILA,CIUDAD ACUÑA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,RICARDO MALDONADO GONZALEZ,450.00,WGS-84,29,42,0.00,102,8,14.00,13,31,"1,000.00",30.00,TERRACERÍA,05/02/2008,5 AÑOS,05/02/2013,FEB,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD ACUÑA, COAHUILA",,,,,,
SP 353,AERÓDROMO,ELS,EL SALTO,DURANGO,PUEBLO NUEVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,CARLOS HERRERA ALE Y/O ERNESTO HERRERA ALE ,"2,580.00",WGS-84,23,46,7.00,105,18,13.00,14,32,"1,200.00",20.00,ASFALTO,16/12/2016,15 AÑOS,16/12/2031,DIC,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 354,AERÓDROMO,EVS,EL VERANO,SINALOA,SAN IGNACIO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO EL VERANO,"1,250.00",NAD 27,24,17,50.00,106,21,20.00,12,30,300.00,10.00,TERRACERÍA,05/04/2006,5 AÑOS,05/04/2011,ABR,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 355,AERÓDROMO,TZC,EL TEMAZCAL,DURANGO,SUCHIL,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"CHILCHOTA TAXI AEREO, S.A. DE C.V.","2,514.00",WGS-84,23,20,21.01,104,14,37.26,3,21,"1,660.00",20.00,ASFALTO,16/06/2025,180 DIAS,16/12/2025,DIC,2025,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 356,AERÓDROMO,CNP,CIENEGA PRIETA,CHIHUAHUA,MORELOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"TAXIS AEREOS DE PARRAL, S.A. ","2,222.00",,26,24,58.00,107,36,51.00,15,33,"1,100.00",20.00,TERRACERÍA,10/11/2008,5 AÑOS,10/11/2013,NOV,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 357,AERÓDROMO,PVJ,EJIDO PUEBLO VIEJO,SINALOA,SAN IGNACIO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO PUEBLO VIEJO,"1,285.00",WGS-84,24,9,0.02,106,9,22.68,17,35,300.00,10.00,TERRACERÍA,10/06/2009,180 DIAS,10/12/2009,JUN,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 358,AERÓDROMO,PTU,PULTICUB,QUINTANA ROO,BACALAR,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"VIP SERVICIOS AEREOS EJECUTIVOS, S.A. DE C.V.",2.00,WGS-84,19,4,33.15,87,33,38.96,10,28,"1,000.00",25.00,ASFALTO,29/11/2017,15 AÑOS,29/11/2032,NOV,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHETUMAL, QUINTANA ROO",,,,,,
SP 359,AERÓDROMO,PTP,PISTA OCAMPO,CHIHUAHUA,OCAMPO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,GAMMON LAKE DE MEXICO,"2,072.00",WGS-84,28,11,19.64,108,22,58.13,6,24,750.00,50.00,TERRACERÍA,22/06/2011,180 DIAS,22/12/2011,DIC,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
HP 360,HELIPUERTO,HMQ,MEDICA SUR,CIUDAD DE MÉXICO,TLALPAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,H-2,"MEDICA SUR, S.A. BURSATIL DE C.V.","2,280.00",NAD 27,19,17,45.60,99,9,38.00,,,,,,21/07/2006,5 AÑOS,21/07/2011,JUL,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 361,PLATAFORMA-HELIPUERTO,HII,CENTENARIO GR,VERACRUZ,VERACRUZ,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,GRUPO R EXPLORACION MARINA S.A. DE C.V.,0.00,WGS-84,19,5,39.00,94,49,53.00,,,,,,07/03/2019,9 MESES,31/12/2019,DIC,2019,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE VERACRUZ, VERACRUZ",,,,,,
SP 362,AERÓDROMO,LLM,LA LAGUNA,CAMPECHE,CAMPECHE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-B,JOHN HENRY JEFFRIES FLORES,50.00,NAD 27,19,48,31.00,90,8,16.00,13,31,800.00,20.00,TERRACERÍA,04/05/2020,15 AÑOS,04/05/2035,AGO,2035,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE CAMPECHE, CAMPECHE",,,,,,
HP 363,HELIPUERTO,HFA,FIDEICOMISO 869,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,FIDEICOMISO DE ADMINISTRACIÓN 869/2007,"2,710.00",WGS-84,19,21,34.90,99,16,36.50,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,MAR,2009,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 364,AERÓDROMO,LLN,LOS LLANOS,SINALOA,BADIRAGUATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-B,BRAULIO GAMBOA DÍAZ ,"1,000.00",WGS-84,26,4,43.78,107,28,20.00,,,500.00,20.00,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,AGO,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
SP 365,AERÓDROMO,ASF,AEROFUMIGACIONES SOLIS,SINALOA,ELOTA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,AGUSTIN SOLIS PEREZ,NO ESPECIFICADA,,23,55,20.00,106,52,52.00,16,34,762.00,20.00,TERRACERÍA,17/11/2000,60 DÍAS,SIN AUTORIZACIÓN,ENE,2001,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
SP 366,AERÓDROMO,VMV,LAS GEMELAS,TAMAULIPAS,RIO BRAVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,VICENTE MORALES VIDALES,30.00,,25,52,50.00,98,7,10.00,17,35,700.00,33.00,TERRACERÍA,27/04/2007,180 DIAS,27/10/2007,OCT,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE REYNOSA, TAMAULIPAS",,,,,,
HP 367,HELIPUERTO,HTB,TORRE DEL BOSQUE,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"ADMINISTRADORA TORRE DEL BOSQUE, S.C.","2,369.00",WGS-84,19,25,42.70,99,12,16.60,,,,,,23/11/2018,180 DIAS,23/05/2019,MAY ,2019,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 368,AERÓDROMO,RLD,LA ESCONDIDA,TAMAULIPAS,ALTAMIRA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ALFREDO JOSE LATOFSKI LITVINCHUCK     ,25.00,WGS-84,22,35,26.10,97,59,47.60,9,27,700.00,10.00,TERRACERÍA,15/11/2007,180 DIAS,15/05/2008,MAY,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
HP 369,HELIPUERTO,HCK,HOTEL CORAL,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"EMPRESA HOTELERA CORAL, S.A. DE C.V.",10.00,,31,53,28.64,116,42,11.02,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ENE,1996,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 370,AERÓDROMO,CTL,COYOTILLOS,COAHUILA,JUÁREZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. MANUEL RODRÍGUEZ DE LOS SANTOS,278.00,WGS-84,27,40,50.80,100,35,34.00,11,29,810.00,20.00,TERRACERÍA,17/05/2016,13 AÑOS,15/09/2029,SEP,2029,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MONCLOVA, COAHUILA",,,,,,
SP 371,AERÓDROMO,RRN,EL ROMANCE,TAMAULIPAS,SOTO LA MARINA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-B,GERARDO LUIS  ADAME JENKINS,183.00,WGS-84,23,22,27.20,97,55,42.90,14,32,800.00,30.00,TERRACERÍA,20/05/2003,180 DIAS,20/11/2003,NOV,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 372,AERÓDROMO,NJO,EL NARANJO,NUEVO LEÓN,BADIRAGUATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,FRANCISCO JAVIER ELIZONDO GONZALEZ,314.00,,25,0,48.00,99,28,38.00,18,36,"1,000.00",20.00,TERRACERÍA,24/05/2001,180 DIAS,SIN AUTORIZACIÓN,AGO,2001,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MONTERREY, NUEVO LEON",,,,,,
SP 373,AERÓDROMO,PIT,LA PINTA,NUEVO LEÓN,CHINA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,GERARDO LUIS  ADAME JENKINS,46.00,WGS-84,25,26,52.30,98,28,23.10,15,33,800.00,25.00,TERRACERÍA,20/05/2003,180 DIAS,20/11/2003,NOV,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DEL NORTE, NUEVO LEON",,,,,,
SP 374,AERÓDROMO,EER,EJIDO ERENDIRA,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"EMPRESA SAHARA, S.R.L. DE C.V.",10.00,WGS-84,31,17,16.90,116,23,30.20,12,30,700.00,17.00,TERRACERÍA,25/03/2002,180 DIAS,SIN AUTORIZACIÓN,SEP,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
SP 375,AERÓDROMO,SIW,SIANORI,DURANGO,TOPIA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JUAN FRANCISCO REYES RODRÍGUEZ.,262.00,WGS-84,25,15,47.30,106,48,12.30,17,35,350.00,12.00,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,OCT,2004,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP 376,AERÓDROMO,TTO,TOTOTAN,MICHOACÁN,AGUILILLA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RICARDO AYALA GUZMAN,350.00,WGS-84,18,22,5.00,102,46,20.00,16,34,430.00,11.00,TERRACERÍA,14/01/2003,90 DÍAS,14/04/2003,ABR,2003,NO,INOPERATIVO,"AEROPUERTO DE LAZARO CARDENAS, MICHOACAN",,,,,,
SP 377,AERÓDROMO,EVL,EL VARAL,JALISCO,CONCEPCION DE BUENOS AIRES,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. HUMBERTO DODDOLI VILLASEÑOR,"1,982.50",WGS-84,19,53,46.20,103,10,41.82,,,800.00,10.00,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,MAR,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE GUADALAJARA, JALISCO",,,,,,
SP 378,AERÓDROMO,PMY,PISTA AEREA AGRICOLA MAYACOBA,SINALOA,AHOME,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,PEDRO SANCHEZ MARIN,8.00,WGS-84,25,56,2.00,109,12,38.00,1,19,700.00,5.00,CONCRETO HIDRAHULICO Y TERRACERIA,30/10/2007,180 DIAS,30/04/2008,ABR,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 379,AERÓDROMO,LNF,LAS NINFAS,COAHUILA,ZARAGOZA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,HERNAN ROCHA GARZA                  ,"1,000.00",WGS-84,28,50,0.00,101,40,0.00,18,36,800.00,40.00,ASFALTO,15/10/2013,15 AÑOS,15/10/2028,OCT,2028,NO,INOPERATIVO (RENUNCIA DEL TITULAR),"AEROPUERTO INTERNACIONAL DE MONCLOVA, COAHUILA",,,,,,
SP 380,AERÓDROMO,VAE,VISTA ALEGRE,TAMAULIPAS,ALTAMIRA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ROBERTO GROSSMANN LATOFSKI                ,52.00,WGS-84,22,32,59.10,98,3,45.90,9,27,950.00,10.00,ASFALTO,01/10/2015,15 AÑOS,01/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
HP 381,PLATAFORMA-HELIPUERTO,HIJ,BICENTENARIO,VERACRUZ,VERACRUZ,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,INDUSTRIAL PERFORADORA DE CAMPECHE S.A DE C.V.,0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,30/10/2015,180 DIAS,30/04/2016,ABR,2016,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MATAMOROS, TAMAULIPAS",,,,,,
HP 382,HELIPUERTO,HOB,DOS BOCAS,TABASCO,PARAISO,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-2,PEMEX EXPLOTACIÓN Y PRODUCCIÓN,"3,478.00",WGS-84,18,25,54.47,93,11,51.15,,,,,,14/12/2012,180 DIAS,14/06/2013,JUN,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD DEL CARMEN, CAMPECHE",,,,,,
HP 383,HELIPUERTO,HPG,GOBIERNO DEL ESTADO DE CHIAPAS,CHIAPAS,TUXTLA GUTIERREZ,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,GOBIERNO DEL ESTADO DE CHIAPAS,NO DISPONIBLE,WGS-84,16,45,45.00,93,4,50.00,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ENE,1996,NO,INOPERATIVO,"AEROPUERTO DE TUXTLA GUTIERREZ, CHIAPAS",,,,,,
SP 384,AERÓDROMO,LOR,SAN LORENZO ACUÑA,COAHUILA,CIUDAD ACUÑA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"AGROPECUARIA SANTA CATALINA, S. DE R.L.",356.00,WGS-84,29,18,30.00,101,5,25.00,8,26,500.00,30.00,TERRACERÍA,18/05/2000,5 AÑOS,18/05/2005,MAY,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD ACUÑA, COAHUILA",,,,,,
SP 385,AERÓDROMO,ESE,EL SECO,COAHUILA,CIUDAD ACUÑA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,HOMERO AMEZCUA DE LOS SANTOS,400.00,,29,25,0.00,101,24,0.00,15,33,900.00,25.00,TERRACERÍA,SIN AUTORIZACIÓN,SIN AUTORIZACIÓN,SIN AUTORIZACIÓN,FEB,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD ACUÑA, COAHUILA",,,,,,
HP 386,HELIPUERTO,HMR,TORRE MORELOS,MORELOS,TEMIXCO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,SECRETARIA DE SEGURIDAD PUBLICA DEL GOBIERNO DEL ESTADO DE MORELOS,"1,233.00",WGS-84,18,49,7.00,99,13,6.50,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ABR,2009,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CUERNAVACA, MORELOS",,,,,,
HP 387,HELIPUERTO,HFP,POLIGONO 3,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"POLICIA FEDERAL, SECRETARIA DE SEGURIDAD PUBLICA SSP","2,509.00",WGS-84,19,23,8.40,99,14,47.40,,,,,,06/05/2002,60 DÍAS,SIN AUTORIZACIÓN,JUL,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 388,AERÓDROMO,CCJ,LA CONCORDIA,CHIAPAS,OSTUACAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. CÉSAR ANTONIO ISLAS NAVA,58.00,WGS-84,17,34,49.68,93,24,42.24,2,20,700.00,30.00,TERRACERÍA,SIN AUTORIZACIÓN,SIN AUTORIZACIÓN,SIN AUTORIZACIÓN,JUL,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE VILLAHERMOSA, TABASCO",,,,,,
SP 389,AERÓDROMO,FTE,EL FUERTE,SINALOA,EL FUERTE,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,2-A,"H. AYUNTAMIENTO DE EL FUERTE, SINALOA",100.00,WGS-84,26,23,53.36,108,36,40.94,14,32,"1,300.00",20.00,ASFALTO,26/06/2019,15 AÑOS,26/06/2034,JUN,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 390,AERÓDROMO,AGM,AGUAJE DEL MONTE,SONORA,SAN JAVIER,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE GUILLERMO CAMOU ARRIOLA,549.00,,28,43,19.50,109,49,2.30,1,19,500.00,20.00,TERRACERÍA,15/08/2000,5 AÑOS,15/08/2005,AGO,2005,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE HERMOSILLO, SONORA",,,,,,
SP 391,AERÓDROMO,GVN,EL GAVILAN,SINALOA,NAVOLATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JAIME ENRIQUE MEDINA MACHADO,16.00,WGS-84,24,45,36.20,107,44,50.60,18,36,500.00,10.00,ASFALTO,10/12/2024,180 DIAS,10/06/2025,JUN,2025,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
HP 392,HELIPUERTO,HAW,TORRE BOSQUES,ESTADO DE MEXICO,HUIXQUILUCAN,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,MARIA DEL CARMEN RUANO ORTIZ,"2,461.00",WGS-84,19,24,29.10,99,17,6.10,,,,,,02/08/2010,180 DIAS,02/02/2011,FEB,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 393,AERÓDROMO,SEF,SANTA EFIGENIA ,DURANGO,SANTIAGO PAPASQUIARO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,COMUNIDAD DE SANTA EFIGENIA.,"1,112.00",WGS-84,24,44,55.80,106,19,0.00,18,36,300.00,10.00,TERRACERÍA,15/04/2010,180 DIAS,15/10/2010,OCT,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 394,AERÓDROMO,BLB,LEO,SONORA,GUAYMAS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"CLUB AEREO DE SAN CARLOS NUEVO GUAYMAS, SONORA, A.C.",49.00,WGS-84,27,59,17.16,111,2,20.31,16,34,"1,600.00",20.00,ASFALTO,25/08/2008,5 AÑOS,25/08/2013,AGO,2013,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE GUAYMAS, SONORA",,,,,,
SP 395,AERÓDROMO,RCU,EL LLANO,CHIHUAHUA,GUACHOCHI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RAMIRO CHAPARRO PALMA,"2,403.00",WGS-84,26,50,30.00,107,5,49.00,3,21,500.00,15.00,TERRACERÍA,27/03/2007,5 AÑOS,27/03/2012,MAR,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 396,AERÓDROMO,PTN,EL PATROCINIO,COAHUILA,SAN PEDRO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"AEROFUMIGACIONES BABUN, S.A. DE C.V.","1,102.00",WGS-84,25,46,37.30,102,57,23.90,8,26,505.00,4.50,ASFALTO,29/11/2017,15 AÑOS,29/11/2032,NOV,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TORREON, COAHUILA",,,,,,
SP 397,AERÓDROMO,FZA,LA FORTALEZA,SAN LUIS POTOSÍ,CIUDAD DEL MAIZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,LUIS REY SANCHEZ CASTILLO,"1,030.00",NAD 27,22,30,5.00,99,45,50.00,13,31,"1,100.00",15.00,TERRACERÍA,17/01/2002,90 DÍAS,SIN AUTORIZACIÓN,ABR,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 398,AERÓDROMO,LZA,LA SUIZA ,CHIAPAS,ANGEL ALBINO CORZO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JUAN MANUEL SANCHEZ AVENDAÑO,"1,188.00",NAD 27,15,39,44.50,92,41,34.98,9,27,600.00,12.00,TERRACERÍA,15/06/2001,60 DÍAS,SIN AUTORIZACIÓN,AGO,2001,NO,INOPERATIVO,"AEROPUERTO DE TUXTLA GUTIERREZ, CHIAPAS",,,,,,
SP 399,AERÓDROMO,PVA,LA PAVA,CHIHUAHUA,NUEVO CASAS GRANDES,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,DEBORAH PARSON PARRA,"1,462.00",WGS-84,30,25,40.50,108,3,21.90,6,24,"1,500.00",60.00,TERRACERÍA,31/07/2002,5 AÑOS,31/07/2007,JUL,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
SP 400,AERÓDROMO,RMC,RANCHO MESA DE CARTUJANOS,COAHUILA,CANDELA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ALBERTO DANIEL MILMO GARZA,860.00,WGS-84,26,57,7.00,100,42,50.00,14,32,900.00,20.00,TERRACERÍA,04/08/2015,15 AÑOS,04/08/2030,AGO,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DEL NORTE, NUEVO LEON",,,,,,
SP 401,AERÓDROMO,JPT,SAN JOSE DEL PROGRESO,OAXACA,TUTUTEPEC,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ALFREDO NAVARRETE GUZMAN,20.00,WGS-84,16,4,44.21,97,42,3.15,2,20,630.00,20.00,TERRACERÍA,02/02/2004,5 AÑOS,02/02/2009,FEB,2009,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE PUERTO ESCONDIDO, OAXACA",,,,,,
SP 402,AERÓDROMO,ASN,ALFONSINA'S RESORT,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,ROMAN ALFOSO CARDENAS URQUIDES,2.00,WGS-84,29,48,14.55,114,23,49.19,1,19,700.00,20.00,TERRACERÍA,06/11/2006,5 AÑOS,06/11/2011,NOV,2011,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ENSENADA, BAJA CALIFORNIA",,,,,,
SP 403,AERÓDROMO,LHV,C.P.A. LEONARDO LOPEZ HERNANDEZ,OAXACA,STO. DOMINGO ZANATEPEC,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C.P.A. LEONARDO LÓPEZ HERNANDEZ,60.00,NAD 27,16,29,33.00,94,23,57.00,18,36,600.00,15.00,TERRACERÍA,24/09/2025,180 DIAS,24/03/2026,MAR,2026,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE PUERTO ESCONDIDO, OAXACA",,,,,,
SP 404,AERÓDROMO,EDR,EL DURY,DURANGO,SAN PEDRO DEL GALLO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"CHILCHOTA TAXI AEREO, S.A. DE C.V.","1,828.00",WGS-84,25,45,44.00,104,25,46.00,3,21,"1,410.00",20.00,ASFALTO,11/08/2015,15 AÑOS,11/08/2030,AGO,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TORREON, COAHUILA",,,,,,
SP 405,AERÓDROMO,ASS,AGUASCALIENTES,BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,VICTOR PEREA ESPINOZA,16.00,WGS-84,32,16,42.42,115,6,56.65,10,28,600.00,13.00,TERRACERÍA,15/08/2008,180 DIAS,15/02/2009,FEB,2009,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 406,HELIPUERTO,HIH,ITAM RIO HONDO,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"ASOCICION MEXICANA DE CULTURA, A.C.","2,550.00",WGS-84,19,20,42.75,99,12,3.15,,,,,,26/07/2018,15 AÑOS,26/07/2033,JUL,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
