,,,,,,,,Sistema Aeroportuario Mexicano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEROPUERTO/AERÓDROMO,,,,,,UBICACIÓN,,DATOS ASIGNACIÓN - CONCESIÓN - PERMISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CZA,MMCT,Chichen-Itza,CHICHEN ITZA ,,YUCATÁN,KAUA,"AEROPUERTO DE CHICHEN ITZA DEL ESTADO DE YUCATÁN, SA DE CV",PARAESTATAL,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,CUU,MMCU,GENERAL DE DIVISION Y PILOTO AVIADOR ROBERTO FIERRO VILLALOBOS,CHIHUAHUA,,CHIHUAHUA,CHIHUAHUA,"AEROPUERTO DE CHIHUAHUA, SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ACN,MMCC,CIUDAD ACUÑA,,CIUDAD ACUÑA,COAHUILA,CD ACUÑA,"ADMINISTRADORA COAHUILENSE DE INFRAESTRUCTURA Y TRANSPORTE AÉREO, SA DE CV ",ACITA,"destinado a los propios fines del permisionario, o a los de terceros con quienes libremente contrate, siempre que se presten al transporte aéreo nacional, ya sea privado no comercial o comercial y no regular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CME,MMCE,CIUDAD DEL CARMEN,CIUDAD DEL CARMEN,,CAMPECHE,CD DEL CARMEN,"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, SA DE CV",GACM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CJS,MMCS,CIUDAD JUÁREZ,CIUDAD JUÁREZ,,CHIHUAHUA,CD JUÁREZ,"AEROPUERTO DE CIUDAD JUÁREZ, SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CEN,MMCN,CIUDAD OBREGÓN,CIUDAD OBREGÓN,,SONORA,CD OBREGÓN,"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, SA DE CV",GACM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CVM,MMCV,GENERAL PEDRO JOSÉ MENDEZ,CIUDAD VICTORIA,,TAMAULIPAS,CD VICTORIA,"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, SA DE CV",GAFSACOMM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CLQ,MMIA,COLIMA,COLIMA,,COLIMA,CUAUHTEMOC,"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, SA DE CV",GACM,"servicio de transporte Nacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,N/D,N/D,CORDOBA,,CORDOBA,VERACRUZ,CORDOBA,H AYUNTAMIENTO CONSTITUCIONAL DE LA CIUDAD DE CORDOBA,MUNICIPAL,aeródromo cerrado por juicio de amparo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CZM,MMCZ,COZUMEL,COZUMEL,,QUINTANA ROO,COZUMEL,"AEROPUERTO DE COZUMEL, SA DE CV",ASUR,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CVJ,MMCB,CUERNAVACA,CUERNAVACA,,MORELOS,TEMIXCO,"AEROPUERTO INTERNACIONAL DE CUERNAVACA, SA DE CV ",PARAESTATAL,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
